Sample,Naive_007,Naive_027,Naive_071,Naive_109,Naive_127,Naive_139,QC_001,QC_003,QC_005,Semi_025,Semi_045,Semi_061,Semi_091,Semi_143,Semi_157
Label,Naive,Naive,Naive,Naive,Naive,Naive,QC,QC,QC,Semi_immue,Semi_immue,Semi_immue,Semi_immue,Semi_immue,Semi_immue
85.065__24.4,166020.82174,120086.08327,20307.63441,118112.9565,87039.61996,104898.32903,0,5649.01708,8876.90427,169627.23083,73863.05029,149758.85754,98183.45473,123477.86232,140747.54975
85.0843__168.22,1705822.85523,1219976.52624,636099.13905,0,1629532.41894,210537.99527,5885706.52854,4895337.30241,4207789.07982,2314313.37182,2527459.04192,3709995.77534,3293045.43331,2888648.78287,3762183.05657
86.0602__37.35,18081.27172,17468.85121,11689.47693,0,4849.81261,51691.2613,1960970.42463,40578.53837,1677014.47947,1212986.02473,661407.86422,1393239.74513,1148858.71605,1007422.72639,1967635.53434
86.0602__129.44,823741.26054,1432717.39481,1018210.60903,2559178.25865,1720322.70316,962967.40741,4091120.11842,4181262.32511,4328084.64559,3910272.07896,3044111.48558,3490387.75572,2757396.23265,1869311.03099,4231258.08127
86.0603__31.26,40696.19635,30304.18364,43651.09732,2223.30648,31249.21443,91509.84206,2341271.24591,3253169.62774,3086656.38877,1905038.17235,964441.13254,2595606.10611,1598768.16123,1125796.26891,2105652.98445
86.0966__59.12,95507679.62103,103854292.33586,71913129.46904,0,72579696.03832,103541387.25626,1225407.87529,1298882.69374,1269322.92906,124289527.10497,193556499.1973,184419890.82983,140838594.43458,167559323.738,176065595.45387
86.0966__93.9,23965448.5512,32660161.88663,18272776.37388,0,0,38810635.27774,107477173.96763,98631992.2241,100210742.85381,264723805.50055,119992641.57424,138170927.85858,227352222.75944,88020006.51691,132187666.63023
86.0966__82.51,15219114.33104,29280720.01315,30329806.59365,0,2471284.97028,20432820.84691,207341052.03518,219715289.93806,196911738.15184,115036934.8667,91941899.01554,178579137.16988,254285049.86678,150407626.5723,249566489.18978
86.0966__68.02,175048972.67449,211835241.96262,195847604.48591,324856733.47678,241282511.16983,288748953.47116,1339781.17275,970212.297,1137715.21876,122900362.28296,209581146.42487,177805709.7758,166192603.27466,219235350.52669,181380138.7508
86.0966__112.28,232174121.40282,296434730.20178,249900170.5577,318182655.37461,320382689.28819,285853906.32259,75164151.93723,70706011.19719,69332284.44874,62344728.00885,87990374.29879,118488905.79424,128770212.22936,89684412.12976,115630765.50234
86.3224__113.04,7857.22469,81267.07901,140194.5321,122428.33792,119821.68133,17719.35893,187248.20958,158908.73915,149352.97192,0,0,0,21100.36155,0,218710.80431
86.4142__99.54,0,0,0,0,0,0,42748.35637,53502.13964,88938.26526,194280.97559,104339.076,182592.16042,179766.68674,169366.78742,65617.66315
86.9088__78.21,213396.443,366778.91284,274975.74696,12459.908,289875.11612,231495.48215,6659899.93861,6683973.4133,6859953.42507,2707481.9749,1946411.1865,3018274.36354,1893355.6845,2669131.42228,2942487.67376
86.9089__119.69,341718.32993,471082.6821,378084.71908,17231.81794,290063.91144,381546.57562,1536102.60658,1689115.13896,1637392.03162,403466.98931,331570.82408,252399.40739,157786.91292,207939.57285,259196.38292
87.0555__125.88,202226.72648,437531.4961,371946.44529,0,957067.21855,120946.49656,1719630.92206,1794704.59811,1643640.58106,1707623.47516,1785615.80662,3673553.16509,2237328.00952,1788698.77355,3789567.36753
87.0807__24.35,10726572.6923,15861006.58178,4908177.35316,15718191.42655,8369954.2801,21065169.96481,149203.96131,162019.61213,88167.66586,19605613.83141,17342193.77814,30385674.055,12447491.83341,14935452.86662,21254247.07103
87.1__94.07,1703390.37708,2382595.31868,2196352.43822,0,1835492.69478,2545788.92647,6555206.24017,6114050.79827,6641073.41964,17021522.88232,7194992.10607,8566272.45216,15070044.91111,5693236.48758,8523792.65085
87.1__82.43,564810.29175,715958.07051,1016854.35571,0,927851.50319,1039249.22652,13639174.48528,14022099.1995,13206160.03861,7368300.28813,5599363.24702,10992832.88802,15359221.32969,9700866.92277,16143044.10657
87.1001__59.22,6353575.18596,5317603.85364,4658363.32391,6300115.1542,5076827.74772,6778471.69293,0,3717.45375,15034.18842,8172228.67049,12122819.67458,11435920.96823,8872652.05437,11568224.85741,11546028.95715
87.1001__112.11,15818007.26817,17441204.29839,17078378.05002,19122679.91077,19371530.70183,17250463.5533,4794994.60775,4349300.99909,4372931.32865,4741376.6955,158567.7644,5477368.57098,7875334.53209,10487086.62932,8593952.51203
